============================================================
--- f = 600.0 Hz | active modes = [0, 1] (2 modes) ---
============================================================

--- Phase 1: Mode 0 | Adam (max 40001 steps) ---
[Adam M0] Step 10200 | pde 9.74e-01 | bc 3.75e-02 | total 1.01e+00 | scales [10.44977   3.955577]
[Adam M0] Step 10400 | pde 1.61e-01 | bc 3.28e-02 | total 1.94e-01 | scales [10.529955  4.104041]
[Adam M0] Step 10600 | pde 7.19e-02 | bc 2.25e-02 | total 9.44e-02 | scales [10.529758   4.1442266]
[Adam M0] Step 10800 | pde 1.13e-01 | bc 2.44e-02 | total 1.38e-01 | scales [10.513404  4.023593]
[Adam M0] Step 11000 | pde 6.06e-02 | bc 3.77e-02 | total 9.83e-02 | scales [10.528496  4.146065]
[Adam M0] Step 11200 | pde 5.06e-02 | bc 3.67e-02 | total 8.73e-02 | scales [10.556693  4.215663]
[Adam M0] Step 11400 | pde 1.95e-01 | bc 3.60e-02 | total 2.31e-01 | scales [10.5471115  3.6465955]
[Adam M0] Step 11600 | pde 5.98e-02 | bc 2.51e-02 | total 8.49e-02 | scales [10.546577   3.8245378]
[Adam M0] Step 11800 | pde 6.57e-02 | bc 4.66e-02 | total 1.12e-01 | scales [10.529957   4.0502124]
[Adam M0] Step 12000 | pde 1.07e-01 | bc 2.34e-02 | total 1.30e-01 | scales [10.529995  4.15253 ]
[Adam M0] Step 12200 | pde 7.78e-01 | bc 3.38e-03 | total 7.81e-01 | scales [10.569231   4.0140724]
[Adam M0] Step 12400 | pde 3.13e-02 | bc 1.84e-02 | total 4.97e-02 | scales [10.558141   4.0272956]
[Adam M0] Step 12600 | pde 3.91e-02 | bc 3.97e-02 | total 7.88e-02 | scales [10.555809   3.9715712]
[Adam M0] Step 12800 | pde 5.96e-02 | bc 2.42e-02 | total 8.38e-02 | scales [10.55581    4.1119146]
[Adam M0] Step 13000 | pde 4.65e-02 | bc 3.08e-02 | total 7.74e-02 | scales [10.563708   4.1289163]
[Adam M0] Step 13200 | pde 1.12e-01 | bc 2.33e-02 | total 1.36e-01 | scales [10.563713   4.1543794]
[Adam M0] Step 13400 | pde 5.96e-02 | bc 2.02e-02 | total 7.98e-02 | scales [10.56226  3.94453]
[Adam M0] Step 13600 | pde 9.31e-02 | bc 1.97e-02 | total 1.13e-01 | scales [10.5768385  3.973261 ]
[Adam M0] Step 13800 | pde 6.28e-01 | bc 6.53e-03 | total 6.35e-01 | scales [10.56979   3.937291]
[Adam M0] Step 14000 | pde 3.28e-02 | bc 3.18e-02 | total 6.46e-02 | scales [10.59427   4.038307]
[Adam M0] Step 14200 | pde 5.54e-02 | bc 2.26e-02 | total 7.80e-02 | scales [10.594266  4.050937]
[Adam M0] Step 14400 | pde 5.20e-01 | bc 1.01e-02 | total 5.30e-01 | scales [10.591123   3.8812776]
[Adam M0] Step 14600 | pde 4.63e-02 | bc 1.75e-02 | total 6.38e-02 | scales [10.592487   3.9441478]
[Adam M0] Step 14800 | pde 3.12e-01 | bc 3.39e-03 | total 3.15e-01 | scales [10.582711   4.0120687]
[Adam M0] Step 15000 | pde 2.76e-02 | bc 2.43e-02 | total 5.19e-02 | scales [10.598519   3.7274573]
[Adam M0] Step 15200 | pde 7.14e-01 | bc 1.28e-01 | total 8.42e-01 | scales [10.592885   4.1025796]
[Adam M0] Step 15400 | pde 2.61e-02 | bc 1.91e-02 | total 4.52e-02 | scales [10.594711   3.9716487]
[Adam M0] Step 15600 | pde 2.66e-01 | bc 7.73e-03 | total 2.74e-01 | scales [10.612271   3.9020967]
[Adam M0] Step 15800 | pde 3.20e-01 | bc 8.06e-03 | total 3.28e-01 | scales [10.613147  4.008302]
[Adam M0] Step 16000 | pde 3.20e-02 | bc 1.59e-02 | total 4.79e-02 | scales [10.613001  3.948332]
[Adam M0] Step 16200 | pde 4.24e-02 | bc 2.06e-02 | total 6.30e-02 | scales [10.623333   4.1179247]
[Adam M0] Step 16400 | pde 1.53e-01 | bc 4.90e-02 | total 2.02e-01 | scales [10.636345   4.0587826]
[Adam M0] Step 16600 | pde 7.56e-02 | bc 1.79e-02 | total 9.35e-02 | scales [10.636069  3.959401]
[Adam M0] Step 16800 | pde 3.44e-02 | bc 1.97e-02 | total 5.41e-02 | scales [10.695513   3.9748313]
[Adam M0] Step 17000 | pde 4.51e-02 | bc 1.80e-02 | total 6.30e-02 | scales [10.69554   4.034203]
[Adam M0] Step 17200 | pde 4.77e-02 | bc 2.23e-02 | total 6.99e-02 | scales [10.688983   4.0878844]
[Adam M0] Step 17400 | pde 1.61e-01 | bc 1.99e-02 | total 1.81e-01 | scales [10.688992   3.8525102]
[Adam M0] Step 17600 | pde 3.43e-02 | bc 1.78e-02 | total 5.21e-02 | scales [10.687477  4.089068]
[Adam M0] Step 17800 | pde 1.49e-01 | bc 3.12e-03 | total 1.52e-01 | scales [10.704161   3.9586244]
[Adam M0] Step 18000 | pde 5.00e-02 | bc 1.08e-02 | total 6.08e-02 | scales [10.718017  4.019549]
[Adam M0] Step 18200 | pde 3.93e-02 | bc 1.72e-02 | total 5.65e-02 | scales [10.716587   3.9910228]
[Adam M0] Step 18400 | pde 4.07e-02 | bc 1.28e-02 | total 5.35e-02 | scales [10.716592  4.112262]
[Adam M0] Step 18600 | pde 2.05e-02 | bc 2.02e-02 | total 4.07e-02 | scales [10.700821   3.8913875]
[Adam M0] Step 18800 | pde 5.74e-02 | bc 1.59e-02 | total 7.34e-02 | scales [10.700828   3.9099221]
[Adam M0] Step 19000 | pde 2.76e-02 | bc 1.46e-02 | total 4.22e-02 | scales [10.700875   3.8049767]
[Adam M0] Step 19200 | pde 2.96e-02 | bc 1.35e-02 | total 4.32e-02 | scales [10.700879   3.9466376]
[Adam M0] Step 19400 | pde 2.77e-02 | bc 1.52e-02 | total 4.29e-02 | scales [10.691804   3.9802573]
[Adam M0] Step 19600 | pde 2.28e-02 | bc 9.90e-03 | total 3.27e-02 | scales [10.691852   4.0368023]
[Adam M0] Step 19800 | pde 5.06e-02 | bc 1.21e-02 | total 6.27e-02 | scales [10.680872   3.9675515]
[Adam M0] Step 20000 | pde 3.09e-02 | bc 1.20e-02 | total 4.29e-02 | scales [10.671328  4.034558]
[Adam M0] Step 20200 | pde 3.64e-02 | bc 7.99e-03 | total 4.44e-02 | scales [10.665863  4.026972]
[Adam M0] Step 20400 | pde 4.59e-02 | bc 1.06e-02 | total 5.65e-02 | scales [10.678355   3.8793693]
[Adam M0] Step 20600 | pde 2.29e-02 | bc 8.90e-03 | total 3.18e-02 | scales [10.67755   4.031995]
[Adam M0] Step 20800 | pde 7.14e-02 | bc 8.99e-03 | total 8.04e-02 | scales [10.664327  3.958116]
[Adam M0] Step 21000 | pde 1.39e-02 | bc 1.13e-02 | total 2.52e-02 | scales [10.65309    3.9846182]
[Adam M0] Step 21200 | pde 4.04e-02 | bc 6.12e-03 | total 4.65e-02 | scales [10.653087  4.008311]
[Adam M0] Step 21400 | pde 4.79e-02 | bc 6.46e-03 | total 5.43e-02 | scales [10.660765   3.8480954]
[Adam M0] Step 21600 | pde 2.30e-02 | bc 6.30e-03 | total 2.93e-02 | scales [10.662326  4.093132]
